"","Station","Period","Date","SpeciesCode","Replicates","CoverMean","CoverSE"
"1",1,1,"08/25/80","503",10,30,5.164
"2",1,2,"04/25/81","503",10,14.5,3.1136
"3",1,3,"10/24/81","503",10,32.5,6.8007
"4",1,4,"04/29/82","503",10,33.5,5.2202
"5",1,5,"10/18/82","503",10,47,5.4365
"6",1,6,"05/01/83","503",10,19.5,4.3748
"7",1,7,"09/14/83","503",10,38,4.7842
"8",1,8,"02/19/84","503",9,43.3333,5.5277
"9",1,9,"10/03/84","503",10,47.5,8.6362
"10",1,10,"04/24/85","503",10,34,6.5744
"11",1,11,"09/05/85","503",10,31.5,5.4288
"12",1,12,"04/18/86","503",10,26.5,3.2532
"13",1,13,"10/05/86","503",10,55.5,5.5
"14",1,14,"04/24/87","503",10,59,5.4671
"15",1,15,"10/07/87","503",10,44.5,4.5
"16",1,16,"04/26/88","503",10,48.5,3.1667
"17",1,17,"10/09/88","503",10,61.5,4.285
"18",1,18,"04/18/89","503",10,55,5.1099
"19",1,19,"11/10/89","503",10,51.5,5.1667
"20",1,21,"10/20/90","503",10,63.5,5.2731
"21",1,22,"04/18/91","503",10,52,4.7842
"22",1,23,"10/09/91","503",10,49,5.2068
"23",1,24,"04/09/92","503",10,40.5,6.3004
"24",1,25,"10/06/92","503",10,37,7.157
"25",1,27,"10/20/93","503",10,42,6.7577
"26",1,28,"04/15/94","503",10,26,6.1824
"27",1,29,"10/07/94","503",10,33.5,10.3024
"28",1,30,"04/11/95","503",10,35,6.7495
"29",1,31,"10/03/95","503",10,45,6.6249
"30",1,32,"04/25/96","503",10,47.5,5.7373
"31",1,33,"10/03/96","503",10,47,4.3589
"32",1,34,"04/15/97","503",10,45.5,6.1215
"33",1,35,"10/16/97","503",10,47,6.675
"34",1,36,"04/26/98","503",10,56.5,6.9142
"35",1,37,"10/17/98","503",10,54.5,6.0759
"36",1,38,"04/24/99","503",10,73.5,3.4197
"37",1,39,"10/07/99","503",10,53.5,7.4181
"38",1,40,"05/02/00","503",10,47.5,6.7598
"39",1,41,"10/25/00","503",10,47.5,6.2026
"40",1,42,"05/05/01","503",10,38.5,4.7755
"41",1,43,"10/15/01","503",10,37.5,5.8333
"42",1,44,"04/29/02","503",10,28.5,4.1533
"43",1,45,"10/09/02","503",10,28.5,5.0028
"44",1,46,"05/02/03","503",10,44,7.2572
"45",1,47,"10/15/03","503",10,45.5,7.3956
"46",1,49,"10/25/04","503",10,32,9.1348
"47",1,50,"05/09/05","503",10,11.5,2.6926
"48",1,51,"10/17/05","503",10,39.5,8.0433
"49",1,52,"04/21/06","503",10,34.5,8.5131
"50",1,53,"10/16/06","503",10,36.5,6.8333
"51",1,54,"04/30/07","503",10,29,7.1024
"52",1,55,"11/02/07","503",10,37,8.4393
"53",1,57,"10/20/08","503",10,39.5,6.89
"54",1,61,"12/13/10","503",10,51,8.0554
"55",1,63,"10/22/11","503",10,62,6.1554
"56",2,1,"08/31/80","503",10,59,8.36
"57",2,2,"04/27/81","503",10,59,8.5245
"58",2,3,"10/21/81","503",10,62,6.8394
"59",2,4,"04/28/82","503",10,42.5,7.12
"60",2,5,"10/16/82","503",10,48,4.4222
"61",2,6,"04/29/83","503",10,31,7.1802
"62",2,7,"09/13/83","503",10,42,6.7577
"63",2,9,"10/05/84","503",10,29,4.4597
"64",2,10,"04/27/85","503",10,39.5,7.4703
"65",2,11,"09/06/85","503",10,36.5,5.0028
"66",2,12,"04/19/86","503",10,42,7.8599
"67",2,13,"10/04/86","503",10,51,7.5203
"68",2,14,"04/23/87","503",10,66.5,6.5426
"69",2,15,"10/10/87","503",10,57.5,10.4416
"70",2,16,"04/27/88","503",10,65.5,6.9302
"71",2,17,"10/07/88","503",10,66,6.7412
"72",2,18,"04/20/89","503",10,77.5,2.5
"73",2,19,"11/11/89","503",10,87,2.1344
"74",2,21,"10/21/90","503",10,74,4
"75",2,22,"04/19/91","503",10,70,3.3333
"76",2,23,"10/12/91","503",10,72,5.281
"77",2,24,"04/11/92","503",10,69,8.4918
"78",2,25,"10/08/92","503",10,78,3.5119
"79",2,27,"10/22/93","503",10,80,4.7726
"80",2,28,"04/18/94","503",10,66,5.3645
"81",2,29,"10/08/94","503",10,78.5,5.5302
"82",2,30,"04/07/95","503",10,70,3.7268
"83",2,31,"10/07/95","503",10,65.5,3.8333
"84",2,32,"04/30/96","503",10,45.5,3.6856
"85",2,33,"10/06/96","503",10,44.5,4.7987
"86",2,34,"04/18/97","503",10,53,6.9602
"87",2,35,"10/17/97","503",10,49.5,7.282
"88",2,36,"04/24/98","503",10,33,4.1633
"89",2,37,"10/18/98","503",10,73,4.899
"90",2,38,"04/25/99","503",10,74.5,2.8333
"91",2,39,"10/12/99","503",10,61.5,7.6757
"92",2,41,"10/28/00","503",10,77,4.0277
"93",2,42,"05/04/01","503",10,49.5,4.9694
"94",2,43,"10/17/01","503",10,72.5,4.4876
"95",2,44,"05/03/02","503",10,59,5.7639
"96",2,45,"10/10/02","503",10,54.5,7.7262
"97",2,46,"05/02/03","503",10,51,5.5678
"98",2,47,"10/16/03","503",10,40.5,5.1343
"99",2,50,"05/12/05","503",10,34,5.8595
